rec_id,value
22,"Barnes, J.W., Barbour, E.A., and Smit, J.S., 1962, Kilembe copper mineUganda, Chapter XIV in Lombard, J. and Nicolini, P. Stratiform copper deposits in Africa, Part 1, Lithology and sedimentology: International GeologicCongress, 20th, Copenhagen,1960, p. 185-195."
23,"Goosens, P.J., 1983, Precambrian mineral deposits and their metallogeny: MuseeRoyal de LAfrique Centrale, Tervuran, Belgique, Anales, Serie IN-8, Sciences Geologique, No. 89."
23,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
23,"Geological Survey of Canada Open File 2915b, 256 p"
24,"Anvil Mining Co. Web Site."
25,"Oosterbosch, R, 1951, Copper mineralization in the Fungurune region, Katanga: Economic Geology, v. 46, p. 121-148."
25,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
25,"Geological Survey of Canada Open File 2915b, 256 p."
26,"Oosterbosch, R, 1951, Copper mineralization in the Fungurune region, Katanga: Economic Geology, v. 46, p. 121-148."
26,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
26,"Geological Survey of Canada Open File 2915b, 256 p."
27,"Bartholome, P., Evrard, P., Katekesha, F., Lopez-Ruiz, J. and Ngongo, M. 1976, Diagenetic ore-forming processes at Kamoto, Katanga, Republic of Congo, in Amstutz G. C., and Barnard, A. J., eds., Ores in sediments:  New York, Springer-Verlag, p. 21-42."
27,"Bowen, R., and Gunatilaka, A, 1977, Copper: its geology and economics: New York, John Wiley&Sons, 366 p."
27,"Cailteux, J., 1986, Diagenetic sulfide mineralization within the stratiform copper-cobalt deposit of West Kambove (Shaba-Zaire). Sequence of mineralization in sediment-hosted copper deposits.in Friedrich, G.H., Genkin, A.D., Naldrett, A.J., Ridge, J.D., Sillitoe, R.H., and Vokes, F.M. Geology and Metallogeny of Copper Deposits, Proceedings 27th International Geological Congress, Moscow, 1984: Berlin, Springer-Verlag, 398-411 p."
27,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
27,"Geological Survey of Canada Open File 2915b, 256 p."
28,"Bowen, R., and Gunatilaka, A, 1977, Copper: its geology and economics: New York, John Wiley&Sons, 366 p."
28,"Cailteux, J., 1986, Diagenetic sulfide mineralization within the stratiform copper-cobalt deposit of West Kambove (Shaba-Zaire). Sequence of mineralization in sediment-hosted copper deposits.in Friedrich, G.H., Genkin, A.D., Naldrett, A.J., Ridge, J.D., Sillitoe, R.H., and Vokes, F.M. Geology and Metallogeny of Copper Deposits, Proceedings 27th International Geological Congress, Moscow, 1984: Berlin, Springer-Verlag, p. 398-411"
28,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
28,"Geological Survey of Canada Open File 2915b, 256 p."
29,"Bartholome, P., Evrard, P., Katekesha, F., Lopez-Ruiz, J. and Ngongo, M. 1976, Diagenetic ore-forming processes at Kamoto, Katanga, Republic of Congo, in Amstutz G. C., and Barnard, A. J., eds., Ores in sediments:  New York, Springer-Verlag, p. 21-42."
29,"Bowen, R., and Gunatilaka, A, 1977, Copper: its geology and economics: New York, John Wiley&Sons, 366 p."
29,"Cailteux, J., 1986, Diagenetic sulfide mineralization within the stratiform copper-cobalt deposit of West Kambove (Shaba-Zaire). Sequence of mineralization in sediment-hosted copper deposits (Part 2) ) in Friedrich, G.H., Genkin, A.D., Naldrett, A.J., Ridge, J.D., Sillitoe, R.H., and Vokes, F.M., Geology and Metallogeny of Copper Deposits: Proceedings 27th International Geological Congress, Moscow, 1984: Berlin, Springer-Verlag, p. 398-411."
29,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
29,"Geological Survey of Canada Open File 2915b, 256 p."
30,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
30,"Geological Survey of Canada Open File 2915b, 256 p."
31,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
31,"Geological Survey of Canada Open File 2915b, 256 p."
32,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
32,"Geological Survey of Canada Open File 2915b, 256 p"
33,"Bowen, R., and Gunatilaka, A, 1977, Copper: its geology and economics: New York, John Wiley&Sons, 366 p."
33,"Cailteux, J., 1986, Diagenetic sulfide mineralization within the stratiform copper-cobalt deposit of West Kambove (Shaba-Zaire). Sequence of mineralization in sediment-hosted copper deposits (Part 2) ) in Friedrich, G.H., Genkin, A.D., Naldrett, A.J., Ridge, J.D., Sillitoe, R.H., and Vokes, F.M. Geology and Metallogeny of Copper Deposits, Proceedings 27th International Geological Congress, Moscow, 1984: Berlin, Springer-Verlag,  p. 398-411."
33,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
33,"Geological Survey of Canada Open File 2915b, 256 p."
34,"Cailteux, J., 1986, Diagenetic sulfide mineralization within the stratiform copper-cobalt deposit of West Kambove (Shaba-Zaire). Sequence of mineralization in sediment-hosted copper deposits.in Friedrich, G.H., Genkin, A.D., Naldrett, A.J., Ridge, J.D., Sillitoe, R.H., and Vokes, F.M. Geology and Metallogeny of Copper Deposits, Proceedings 27th International Geological Congress, Moscow, 1984: Berlin, Springer-Verlag, 398-411 p."
34,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
34,"Geological Survey of Canada Open File 2915b, 256 p."
35,"Bowen, R., and Gunatilaka, A, 1977, Copper: its geology and economics: New York, John Wiley&Sons, 366 p."
35,"Francois, A., 1974, Stratigraphie, tectomique et mineralisation dans larc cuprifére"
35,"du Shaba (Republique du Zaire) in Bartholomé, Paul, ed. Gisements Statiform et Provinces Cuprifére: Liége, Société Geologique de Belgique, 427 p."
35,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
35,"Geological Survey of Canada Open File 2915b, 256 p."
36,"Van Eden, J.G., 1978, Stratiform copper and zinc mineralization in the Cretaceous of Angola: Economic Geology, v. 73, p. 1154-1160."
37,"Oosterbosch, R.,1962, Les minéralisations dans le systeme de Roan au Katanga (Chapter VIII) in Lombard, J. and Nicolini, P. Stratiform copper deposits in Africa, Part 1, Lithology and sedimentology: International GeologicCongress, 20th, Copenhagen,1960, p. 71-136."
38,"Caia, J. 1976,  Paleogeographical and sedimentological controls of copper, lead, and zinc mineralization in the Lower Cretaceous sandstones of Africa: Economic Geology, V. 71, p. 409-422."
38,"Van Eden, J.G.1978, Stratiform copper and zinc mineralization in the Cretaceous of Angola: Economic Geology, V. 73, p. 1154-1160."
38,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
38,"Geological Survey of Canada Open File 2915b, 256 p."
39,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
39,"Geological Survey of Canada Open File 2915b, 256 p."
40,"Cailteux, J., 1986, Diagenetic sulfide mineralization within the stratiform copper-cobalt deposit of West Kambove (Shaba-Zaire). Sequence of mineralization in sediment-hosted copper deposits.in Friedrich, G.H., Genkin, A.D., Naldrett, A.J., Ridge, J.D., Sillitoe, R.H., and Vokes, F.M. Geology and Metallogeny of Copper Deposits, Proceedings 27th International Geological Congress, Moscow, 1984: Berlin, Springer-Verlag, 398-411 p."
40,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
40,"Geological Survey of Canada Open File 2915b, 256 p."
41,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
41,"Geological Survey of Canada Open File 2915b, 256 p."
42,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
42,"Geological Survey of Canada Open File 2915b, 256 p."
43,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
43,"Geological Survey of Canada Open File 2915b, 256 p."
44,"Francois, A., 1974, Stratigraphie, tectomique et mineralisation dans larc cuprifére"
44,"du Shaba (Republique du Zaire) in Bartholomé, Paul, ed. Gisements Statiform et Provinces Cuprifére: Liége, Société Geologique de Belgique, 427 p."
44,"Lefebvre, J.J., 1989, Depositional environment of copper-cobalt mineralization in the Katanga sediments of southeast Shaba, Zaire in Boyle, R.W., Brown, A.C., Jefferson, C.W., Jowett, E.C., and Kirkham, R.V. eds., Sediment-hosted Stratiform Copper Deposits: Geological Association of Canada Special Paper 36. p. 401-426."
45,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
45,"Geological Survey of Canada Open File 2915b, 256 p."
46,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
46,"Geological Survey of Canada Open File 2915b, 256 p."
46,"Torrealday, H.I., Hitzman, M.W., Stein, H.J., Markeley, R.J., Armstrong, R., and Broughton, D, 2000, Re-Os and U-Pb dating of vein-hosted mineralization at the Kansanshi copper deposit, northern Zambia, Economic geology, v.95, p. 1165-1170"
47,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
47,"Geological Survey of Canada Open File 2915b, 256 p."
48,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
48,"Geological Survey of Canada Open File 2915b, 256 p.g"
49,"Lefebvre, J.J., Depositional environment of copper-cobalt mineralization in the Katanga sediments of southeast Shaba, Zaire in Boyle, R.W., Brown, A.C., Jefferson, C.W., Jowett, E.C., and Kirkham, R.V. eds., Sediment-hosted Stratiform Copper Deposits: Geological Association of Canada Special Paper 36. p. 401-426."
49,"Richards, J.P., Krogh, T.E., and Spooner, E.T.C, 1988, Fluid inclusion characteristics and U-Pb rutile age of late hydrothermal alteration and veining at the Musoshi stratiform copper deposit, Central African Copper Belt, Zaire: Economic Geology, v. 83, p. 118-139."
50,"Lefebvre, J.J., 1989, Depositional environment of copper-cobalt mineralization in the Katanga sediments of southeast Shaba, Zaire in Boyle, R.W., Brown, A.C., Jefferson, C.W., Jowett, E.C., and Kirkham, R.V. eds., Sediment-hosted Stratiform Copper Deposits: Geological Association of Canada Special Paper 36. p. 401-426."
50,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
50,"Geological Survey of Canada Open File 2915b, 256 p."
51,"Annels, A.E., 1989, Ore genesis in the Zambian Copperbelt with particular reference to the northern sector of the Chambishi Basin, in Boyle, R.W., Brown, A.C., Jefferson, C.W., Jowett, E.C., and Kirkham, R.V. eds., Sediment-hosted Stratiform Copper Deposits: Geological Association of Canada Special Paper 36. p. 427-452."
51,"Fleischer, V.D., Garlick, W.D., and Haldane, R., 1976, Geology of the Zambian Copperbelt in Wolf, K.H., ed., Handbook ofStrata-bound and Stratiform Ore Deposits, v. 6, Chapter 6, p.223-352."
51,"Lefebvre, J.J., Depositional environment of copper-cobalt mineralization in the Katanga sediments of southeast Shaba, Zaire in Boyle, R.W., Brown, A.C., Jefferson, C.W., Jowett, E.C., and Kirkham, R.V. eds., Sediment-hosted Stratiform Copper Deposits: Geological Association of Canada Special Paper 36. p. 401-426."
51,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
51,"Geological Survey of Canada Open File 2915b, 256 p."
52,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
52,"Geological Survey of Canada Open File 2915b, 256 p."
53,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
53,"Geological Survey of Canada Open File 2915b, 256 p."
54,"Caia, J. 1976,  Paleogeographical and sedimentological controls of copper, lead, and zinc mineralization in the Lower Cretaceous sandstones of Africa: Economic Geology, V. 71, p. 409-422."
54,"Van Eden, J.G.1978, Stratiform copper and zinc mineralization in the Cretaceous of Angola: Economic Geology, V. 73, p. 1154-1160"
55,"Fleischer, V.D., Garlick, W.D., and Haldane, R., 1976, Geology of the Zambian Copperbelt in Wolf, K.H., ed., Handbook ofStrata-bound and Stratiform Ore Deposits, v. 6, Chapter 6, p.223-352."
55,"Garlick, 1989, Genetic interpretation from ore relations to algal reefs in Zambia and Zaire in Boyle, R.W., Brown, A.C., Jefferson, C.W., Jowett, E.C., and Kirkham, R.V. eds., Sediment-hosted Stratiform Copper Deposits: Geological Association of Canada Special Paper 36. p. 471-498."
55,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
55,"Geological Survey of Canada Open File 2915b, 256 p."
56,"Annels, A.E., 1989, Ore genesis in the Zambian Copperbelt with particular reference to the northern sector of the Chambishi Basin, in Boyle, R.W., Brown, A.C., Jefferson, C.W., Jowett, E.C., and Kirkham, R.V. eds., Sediment-hosted Stratiform Copper Deposits: Geological Association of Canada Special Paper 36. p. 427-452."
56,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
56,"Geological Survey of Canada Open File 2915b, 256 p."
57,"Annels, A.E., 1989, Ore genesis in the Zambian Copperbelt with particular reference to the northern sector of the Chambishi Basin, in Boyle, R.W., Brown, A.C., Jefferson, C.W., Jowett, E.C., and Kirkham, R.V. eds., Sediment-hosted Stratiform Copper Deposits: Geological Association of Canada Special Paper 36. p. 427-452."
57,"Fleischer, V.D., Garlick, W.D., and Haldane, R., 1976, Geology of the Zambian Copperbelt in Wolf, K.H., ed., Handbook ofStrata-bound and Stratiform Ore Deposits, v. 6, Chapter 6, p.223-352."
57,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
57,"Geological Survey of Canada Open File 2915b, 256 p."
58,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
58,"Geological Survey of Canada Open File 2915b, 256 p."
59,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
59,"Geological Survey of Canada Open File 2915b, 256 p."
60,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
60,"Geological Survey of Canada Open File 2915b, 256 p."
61,"Annels, A.E., 1989, Ore genesis in the Zambian Copperbelt with particular reference to the northern sector of the Chambishi Basin, in Boyle, R.W., Brown, A.C., Jefferson, C.W., Jowett, E.C., and Kirkham, R.V. eds., Sediment-hosted Stratiform Copper Deposits: Geological Association of Canada Special Paper 36. p. 427-452."
61,"Fleischer, V.D., 1984, Discovery, geology andgenesis of copper-cobalt mineralization at Chambishi Southeast prospect, Zambia: Precambrian Research, v. 25, p. 119-133."
61,"Fleischer, V.D., Garlick, W.D., and Haldane, R., 1976, Geology of the Zambian Copperbelt in Wolf, K.H., ed., Handbook ofStrata-bound and Stratiform Ore Deposits, v. 6, Chapter 6, p.223-352."
61,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
61,"Geological Survey of Canada Open File 2915b, 256 p."
62,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
62,"Geological Survey of Canada Open File 2915b, 256 p."
63,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
63,"Geological Survey of Canada Open File 2915b, 256 p."
64,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
64,"Geological Survey of Canada Open File 2915b, 256 p."
65,"Annels, A.E., 1989, Ore genesis in the Zambian Copperbelt with particular reference to the northern sector of the Chambishi Basin, in Boyle, R.W., Brown, A.C., Jefferson, C.W., Jowett, E.C., and Kirkham, R.V. eds., Sediment-hosted Stratiform Copper Deposits: Geological Association of Canada Special Paper 36. p. 427-452."
65,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
65,"Geological Survey of Canada Open File 2915b, 256 p."
66,"Fleischer, V.D., Garlick, W.D., and Haldane, R., 1976, Geology of the Zambian Copperbelt in Wolf, K.H., ed., Handbook ofStrata-bound and Stratiform Ore Deposits, v. 6, Chapter 6, p.223-352."
66,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
66,"Geological Survey of Canada Open File 2915b, 256 p."
67,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
67,"Geological Survey of Canada Open File 2915b, 256 p."
68,"Fleischer, V.D., Garlick, W.D., and Haldane, R., 1976, Geology of the Zambian Copperbelt in Wolf, K.H., ed., Handbook ofStrata-bound and Stratiform Ore Deposits, v. 6, Chapter 6, p.223-352."
68,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
68,"Geological Survey of Canada Open File 2915b, 256 p."
69,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
69,"Geological Survey of Canada Open File 2915b, 256 p."
70,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
70,"Geological Survey of Canada Open File 2915b, 256 p."
71,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
71,"Geological Survey of Canada Open File 2915b, 256 p."
72,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
72,"Geological Survey of Canada Open File 2915b, 256 p."
73,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
73,"Geological Survey of Canada Open File 2915b, 256 p."
74,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
74,"Geological Survey of Canada Open File 2915b, 256 p."
75,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
75,"Geological Survey of Canada Open File 2915b, 256 p."
75,"Fleischer, V.D., Garlick, W.D., and Haldane, R., 1976, Geology of the Zambian Copperbelt in Wolf, K.H., ed., Handbook ofStrata-bound and Stratiform Ore Deposits, v. 6, Chapter 6, p.223-352."
76,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
76,"Geological Survey of Canada Open File 2915b, 256 p."
77,"Fleischer, V.D., Garlick, W.D., and Haldane, R., 1976, Geology of the Zambian Copperbelt in Wolf, K.H., ed., Handbook ofStrata-bound and Stratiform Ore Deposits, v. 6, Chapter 6, p.223-352."
77,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
77,"Geological Survey of Canada Open File 2915b, 256 p."
78,"Miller, W.E., and McGregor, J.A., 1967, The Kalengwa copper deposit in north western Zambia: Economic Geology, v.62. p. 781-797."
78,"Van Eden J.G., and Binda, P.L., 1972, Scope of stratigraphic and sedimentological analysis of the Katanga Sequence, Zambia: Geologie en Mijnbouw, v. 51, p. 321-328"
78,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
78,"Geological Survey of Canada Open File 2915b, 256 p."
79,"Geological Survey of Canada Open File 2915b, 256 p."
79,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
80,"Maiden, K.J., Innes, A.H., King, M.J., Master, S., and Pettitt, I., 1984, Regional controls on the localization of stratabound copper deposits: Proterozoic examples from southern Africa and South Australia: Precambrian Research, V. 25, p. 99-118."
80,"Newham, W.D.N., 1986, The Lomagundi and Sabi metallogenic provinces of Zimbabwe in Anhaeusser, C.R., and Maske, S., eds., Mineral Deposits of Southern Africa, v. 2: Geological Society of South Africa, p. 1351-1393"
81,"Maiden, K.J., Innes, A.H., King, M.J., Master, S., and Pettitt, I., 1984, Regional controls on the localization of stratabound copper deposits: Proterozoic examples from southern Africa and South Australia: Precambrian Research, V. 25, p. 99-118."
81,"Newham, W.D.N., 1986, The Lomagundi and Sabi metallogenic provinces of Zimbabwe in Anhaeusser, C.R., and Maske, S., eds., Mineral Deposits of Southern Africa, v. 2: Geological Society of South Africa, p. 1351-1393"
82,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
82,"Geological Survey of Canada Open File 2915b, 256 p."
82,"Maiden, K.J., Innes, A.H., King, M.J., Master, S., and Pettitt, I., 1984, Regional controls on the localization of stratabound copper deposits: Proterozoic examples from southern Africa and South Australia: Precambrian Research, V. 25, p. 99-118."
82,"Newham, W.D.N., 1986, The Lomagundi and Sabi metallogenic provinces of Zimbabwe in Anhaeusser, C.R., and Maske, S., eds., Mineral Deposits of Southern Africa, v. 2: Geological Society of South Africa, p. 1351-1393"
83,"Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences:"
83,"Geological Survey of Canada Open File 2915b, 256 p."
83,"Maiden, K.J., Innes, A.H., King, M.J., Master, S., and Pettitt, I., 1984, Regional controls on the localization of stratabound copper deposits: Proterozoic examples from southern Africa and South Australia: Precambrian Research, V. 25, p. 99-118."
