position,rec_id,year,country,commodity,location,fac_name,fac_type,dmslat,dmslong,latitude,longitude,precision,mm,op_comp,maininvest,othinvest,status,capacity,units,notes,cite
126,126,2007,Australia,Copper,"195 kilometers southeast of Mount Isa, Queensland","Osborne underground copper-gold mine",Mine,"22° 08'  S","140° 55'  E",-21.86,140.92,F,U,"Barrick  Gold Corp.","Barrick  Gold Corp., 100%",,Active,50,"thousand metric tons per year",,847
127,127,2007,Australia,Copper,"2 kilometers northeast of Queenstown, Tasmania","Mount Lyell underground copper-gold mine",Mine,"43° 56'  S","145° 35'  E",-42.06,145.59,F,U,"Sterlite Industries (India) Ltd.","Sterlite Industries (India) Ltd., 100%",,Active,35,"thousand metric tons per year",,847
128,128,2007,Australia,Copper,"10 kilometers northwest of Cobar, New South Wales","Cobar underground copper mine",Mine,"32° 35'  S","145° 48'  E",-31.41,145.8,F,U,"Glencore Australia Pty. Ltd.","Glencore Australia Pty. Ltd., 100%",,Active,30,"thousand metric tons per year",,847
129,129,2007,Australia,Copper,"5 kilometers south of Orange, New South Wales","Ridgeway underground gold-copper mine",Mine,"34° 40'  S","149° 06'  E",-33.34,149.1,F,U,"Newcrest Mining Ltd.","Newcrest Mining Ltd., 100%",,Active,30,"thousand metric tons per year",,847
130,130,2007,Australia,Copper,"200 kilometers southeast of Marble Bar, Western Australia","Nifty open pit copper (SX-EX)  mine",Mine,"22° 20'  S","121° 34'  E",-21.66,121.57,F,S,"Aditya Birla Minerals Ltd.","Aditya Birla Minerals Ltd., 100%",,Active,25,"thousand metric tons per year",,847
131,131,2007,Australia,Copper,"21 kilometers south-southwest of Orange, New South Wales","Cadia Hill open pit gold-copper mine",Mine,"34° 32'  S","149° 00'  E",-33.47,149,F,S,"Newcrest Mining Ltd.","Newcrest Mining Ltd., 100%",,Active,25,"thousand metric tons per year",,847
132,132,2007,Australia,Copper,"52 kilometers southeast of Yalgoo, Western Australia","Golden Grove underground zinc-copper mine (Gossan Hill)",Mine,"29° 16'  S","116° 56'  E",-28.74,116.94,F,U,"Oxiana Ltd.","Oxiana Ltd., 100%",,Active,20,"thousand metric tons per year",,847
133,133,2007,Australia,Copper,"100 kilometers north-northwest of Mount Isa, Queensland","Lady Annie copper (SW-EX) mine",Mine,"20° 13'  S","139° 04'  E",-19.78,139.06,F,S,,"Copper Co Ltd., 100%",,Active,19,"thousand metric tons per year",,847
134,134,2007,Australia,Copper,"150 kilometers southeast of Mount Isa, Queensland","Selwyn underground copper-gold mine",Mine,"22° 28'  S","140° 30'  E",-21.54,140.5,F,U,"Barrick  Gold Corp.","Barrick  Gold Corp., 100%",,Active,17,"thousand metric tons per year",,847
135,135,2007,Australia,Copper,"110 kilometers northwest of Cloncurry, Queensland","Leichardt copper mine",Mine,"20° 01'  S","139° 55'  E",-19.99,139.92,F,S,"Matrix Metals Ltd.","Matrix Metals Ltd., 100%",,Active,10,"thousand metric tons per year",,847
136,136,2007,Australia,Copper,"8 kilometers south of Cobar, New South Wales","Peak underground gold-zinc-lead-copper-silver underground mine",Mine,"32° 26'  S","145° 52'  E",-31.56,145.87,F,U,"GoldCorp Inc","GoldCorp Inc, 100%",,Active,3,"thousand metric tons per year",,847
137,137,2007,Australia,Copper,"35 kilometers north of Queenstown, Tasmania","Rosebery underground zinc-lead-silver-copper-gold mine",Mine,"42° 14'  S","145° 33'  E",-41.77,145.55,F,U,"OZ Minerals Ltd.","OZ Minerals Ltd., 100%",,Active,2,"thousand metric tons per year",,847
138,138,2007,Australia,Copper,"80 kilometers south-southwest of Burnie, Tasmania","Hellyer underground zinc-lead-copper-silver mine",Mine,"42° 25'  S","145° 44'  E",-41.58,145.73,F,U,,"Intec Ltd., 50%, and Polymetals Mining  Services Pty. Ltd., 50%",,Active,1,"thousand metric tons per year",,847
343,343,2007,Burma,Copper,"Monywa Region, central Burma","Monywa Copper Project - the Monywa Refinery",Plant,"22° 07'  N","095° 02'  E",22.12,95.04,F,,"Mining Enterprise No.1","Mining Enterprise No.1 (50%)",,Active,40000,"metric tons per year","Combined capacity for positions 343344.",847
344,344,2007,Burma,Copper,"Monywa Region, central Burma","Monywa Copper Project - the S&K Mine",Mine,"22° 07'  N","095° 02'  E",22.12,95.04,F,,"Mining Enterprise No.1","Mining Enterprise No.1 (50%)",,Active,40000,"metric tons per year","Combined capacity for positions 343344.",847
441,441,2007,China,"Copper: refined","Guixi, Jiangxi","Plant at Guixi",Plant,"28° 19'  N","117° 13'  E",28.31,117.22,A,,"Guixi Smelter","Jiangxi Copper Co. Ltd.",,Active,700,"thousand metric tons per year",,847
442,442,2007,China,"Copper: refined","Tongling, Anhui","Plant at Tongling",Plant,"38° 31'  N","102° 13'  E",38.51,102.21,A,,"Jinchang Smelter","Tongling Nonferrous Metals Group Holding Co. Ltd.",,Active,400,"thousand metric tons per year",,847
443,443,2007,China,"Copper: refined","Yanggu, Shandong","Plant at Yanggu",Plant,"36° 07'  N","115° 47'  E",36.11,115.78,A,,"Shandong Yanggu Xiangguang Co. Ltd.",,,Active,400,"thousand metric tons per year",,847
444,444,2007,China,"Copper: refined","Kunming, Yunnan","Plant at Kunming",Plant,"25° 02'  N","102° 43'  E",25.04,102.72,A,,"Yunnan Smelter",,,Active,250,"thousand metric tons per year",,847
445,445,2007,China,"Copper: refined","Daye, Hubei","Plant at Daye",Plant,"30° 08'  N","114° 58'  E",30.13,114.97,A,,"Daye Nonferrous Metals Co.",,,Active,200,"thousand metric tons per year",,847
446,446,2007,China,"Copper: refined","Dongying, Shandong","Plant at Dongying",Plant,"37° 28'  N","118° 29'  E",37.46,118.49,A,,"Dongying Fangyuan Nonferrous Metals Co. Ltd.",,,Active,200,"thousand metric tons per year",,847
447,447,2007,China,"Copper: refined","Jinchuan, Gansu","Plant at Jinchuan",Plant,"38° 31'  N","102° 13'  E",38.51,102.21,F,,"Jinchuan Nonferrous Metals Corp.",,,Active,200,"thousand metric tons per year",,847
448,448,2007,China,"Copper: refined",Tianjin,"Plant in Tianjin",Plant,"39° 08'  N","117° 11'  E",39.14,117.18,A,,"Tianjin Datong Copper Co. Ltd. (former Tianjin Copper Electrolysis Factory)",,,Active,200,"thousand metric tons per year",,847
449,449,2007,China,"Copper: refined","Yantai, Shandong","Plant at Yantai",Plant,"37° 32'  N","121° 24'  E",37.53,121.4,A,,"Yantai Penghui Copper Industry Co. Ltd.",,,Active,200,"thousand metric tons per year",,847
450,450,2007,China,"Copper: refined","Zhangjiagang, Jiangsu","Plant at Zhangjiagang",Plant,"31° 52'  N","120° 32'  E",31.87,120.54,A,,"Zhangjiagang United Copper Co.","Tongling Nonferrous Metals Group Holding Co. Ltd.",,Active,200,"thousand metric tons per year",,847
451,451,2007,China,"Copper: refined","Tongling, Anhui","Plant at Tongling",Plant,"30° 57'  N","117° 47'  E",30.95,117.78,A,,"Jinchang Smelter","Tongling Nonferrous Metals Group Holding Co. Ltd.",,Active,170,"thousand metric tons per year",,847
452,452,2007,China,"Copper: refined","Chifeng, Nei Mongol","Plant at Chifeng",Plant,"42° 12'  N","118° 53'  E",42.2,118.89,F,,"Chifeng Jingeng Copper Co. Ltd.",,,Active,100,"thousand metric tons per year",,847
453,453,2007,China,"Copper: refined","Huludao, Liaoning","Plant at Huludao",Plant,"40° 44'  N","120° 52'  E",40.73,120.87,A,,"Dongfang Copper Co.","Huludao Nonferrous Metals Group",,Active,100,"thousand metric tons per year",,847
454,454,2007,China,"Copper: refined","Linyi, Shandong","Plant at Linyi",Plant,"37° 11'  N","116° 52'  E",37.19,116.87,A,,"Shandong Jinsheng Nonferrous Metals Corp.",,,Active,100,"thousand metric tons per year",,847
455,455,2007,China,"Copper: refined","Yuangu, Shanxi","Plant at Yuangu",Plant,"35° 18'  N","111° 40'  E",35.3,111.66,A,,"Zhongtiaoshan Nonferrous Metals Co.",,,Active,100,"thousand metric tons per year",,847
456,456,2007,China,"Copper: refined","Wuhu, Anhui","Plant at Wuhu",Plant,"31° 20'  N","118° 24'  E",31.34,118.4,A,,"Wuhu Smelter","Hengxin Copper Industry Group Co.",,Active,60,"thousand metric tons per year",,847
457,457,2007,China,"Copper: refined","Baiyin, Gansu","Plant at Baiyin",Plant,"36° 33'  N","104° 13'  E",36.55,104.21,F,,"Baiyin Nonferrous Metals Co.",,,Active,50,"thousand metric tons per year",,847
458,458,2007,China,"Copper: refined","Luoyang, Henan","Plant at Luoyang",Plant,"34° 41'  N","112° 23'  E",34.68,112.39,A,,"Luoyang Copper Processing Factory",,,Active,50,"thousand metric tons per year",,847
459,459,2007,China,"Copper: refined","Taiyuan, Shanxi","Plant at Taiyuan",Plant,"37° 54'  N","112° 35'  E",37.9,112.58,A,,"Taiyuan Copper Industry Co.",,,Active,30,"thousand metric tons per year",,847
700,700,2007,India,Copper,"Ghatsila District, Jharkhand","Indian Copper Complex mines",Mine,"22° 35'  N","086° 27'  E",22.59,86.45,F,,"Hindustan Copper Co. Ltd.","Government of India, 100%",,Active,31,"thousand metric tons per year",,847
701,701,2007,India,Copper,"Balaghar District, Madhya Pradesh","Malanjkhand Copper Complex mines",Mine,"22° 01'  N","080° 43'  E",22.02,80.72,F,,"Hindustan Copper Co. Ltd.","Government of India, 100%",,Active,22,"thousand metric tons per year",,847
702,702,2007,India,Copper,"Khetrinagar District, Rajasthan","Khetri Copper Complex mines",Mine,"28° 01'  N","075° 46'  E",28.02,75.77,F,,"Hindustan Copper Co. Ltd.","Government of India, 100%",,Active,15,"thousand metric tons per year",,847
703,703,2007,India,"Copper: metal","Tamil Nadu","Tuticorin Smelter",Plant,"08° 46'  N","078° 10'  E",8.76,78.17,F,,"Sterlite Industries Ltd.","Sterlite Industries Ltd.",,Active,400,"thousand metric tons per year",,847
704,704,2007,India,"Copper: metal",Gujarat,"Silvassa refinery",Plant,"20° 15'  N","073° 01'  E",20.25,73.01,A,,"Sterlite Industries Ltd.","Sterlite Industries Ltd.",,Active,300,"thousand metric tons per year",,847
705,705,2007,India,"Copper: metal","Dahej, Gujarat","Birla Copper Complex smelter",Plant,"21° 42'  N","072° 33'  E",21.7,72.55,F,,"Hindalco Industries Ltd.","Birla Group, 33%","Foreign investors, 26%; private Indian investors, 23%; financial institutions, 18%",Active,70,"thousand metric tons per year",,847
706,706,2007,India,"Copper: metal","Khetrinagar District, Rajasthan","Khetri Copper Complex smelter-refinery",Plant,"28° 01'  N","075° 46'  E",28.02,75.77,F,,"Hindustan Copper Co. Ltd.","Government of India, 100%",,Active,45,"thousand metric tons per year",,847
707,707,2007,India,"Copper: metal","Ghatsila District, Jharkhand","Indian Copper Complex smelter-refinery",Plant,"22° 35'  N","086° 27'  E",22.59,86.45,F,,"Hindustan Copper Co. Ltd.","Government of India, 100%",,Active,20,"thousand metric tons per year",,847
827,827,2007,Indonesia,"Copper: concentrate","Ertsberg, Papua","Mine at Ertsberg",Mine,"05° 57'  S","137° 07'  E",-4.05,137.12,A,,"PT Freeport Indonesia Co.","Freeport-McMoRan Copper & Gold Inc. of the United States, 81.28%","Government of Indonesia, 9.36%; others, 9.36%",Active,800,"thousand metric tons per year",,847
828,828,2007,Indonesia,"Copper: concentrate","Grasberg, Papua","Mine at Grasberg",Mine,"05° 57'  S","137° 07'  E",-4.05,137.12,F,,"PT Freeport Indonesia Co.","Freeport-McMoRan Copper & Gold Inc. of the United States, 81.28%","Government of Indonesia, 9.36%; others, 9.36%",Active,800,"thousand metric tons per year",,847
829,829,2007,Indonesia,"Copper: concentrate","Sumbawa Island, West Nusa Tenggara","Mine at Sumbawa Island",Mine,"09° 16'  S","118° 00'  E",-8.73,118,A,,"PT Newmont Nusa Tenggara","Newmont Gold Mining Co. of the United States, 45%","Sumitomo Corp., 35%; PT Pukuafu Indah, 20%",Active,300,"thousand metric tons per year",,847
830,830,2007,Indonesia,"Copper: metal","Gresik, East Java","Plant at Gresik",Plant,"08° 51'  S","112° 40'  E",-7.15,112.66,A,,"PT Smelting Co.","Mitsubishi Materials Corp., 60.5%","PT Freeport Indonesia Co., 25%; others, 14.5%",Active,210,"thousand metric tons per year",,847
924,924,2007,Japan,"Copper: refined","Hitachi, Ibaraki Prefecture","Refinery at Hitachi",Plant,"36° 33'  N","140° 38'  E",36.55,140.64,F,,"Nippon Mining and Metals Co. Ltd. (wholly owned subsidiary of Nikko Kyodo Co. Ltd.)",,,Active,450,"thousand metric tons per year","Combined capacity for positions 924925.",847
925,925,2007,Japan,"Copper: refined","Saganoseki, Oita Prefecture","Refinery at Saganoseki",Plant,"33° 15'  N","131° 53'  E",33.25,131.88,A,,"Nippon Mining and Metals Co. Ltd. (wholly owned subsidiary of Nikko Kyodo Co. Ltd.)",,,Active,450,"thousand metric tons per year","Combined capacity for positions 924925.",847
926,926,2007,Japan,"Copper: refined","Besshi/Toyo (Saijyo), Ehime Prefecture","Refinery at Besshi/Toyo (Saijyo)",Plant,"33° 51'  N","133° 23'  E",33.85,133.38,A,,"Sumitomo Metal Mining Co. Ltd.",,,Active,410,"thousand metric tons per year",,847
927,927,2007,Japan,"Copper: refined","Onahama, Fukushima Prefecture","Refinery at Onahama",Plant,"36° 56'  N","140° 52'  E",36.94,140.87,A,,"Onahama Smelting and Refining Co. Ltd.","Mitsubishi Materials Corp., 49.29%","Dowa Mining Co. Ltd., 31.15%; Furukawa Co. Ltd.,8.31%; Furukawa Electric Co. Ltd. and Mitsubishi Cable Industries Ltd., 4.17% each; an",Active,258,"thousand metric tons per year",,847
928,928,2007,Japan,"Copper: refined","Tamano, Okayama Prefecture","Refinery at Tamano",Plant,"34° 31'  N","133° 57'  E",34.51,133.95,A,,"Hibi Kyodo Smelting Co. Ltd.","Mitsui Mining and Smelting Co. Ltd., 64%","Nittetsu Mining Co.  Ltd., 20%; Furukawa Co. Ltd., 16%",Active,228,"thousand metric tons per year",,847
929,929,2007,Japan,"Copper: refined","Naoshima, Kagawa Prefecture","Refinery at Naoshima",Plant,"34° 28'  N","133° 59'  E",34.47,133.98,F,,"Mitsubishi Materials Corp.",,,Active,226,"thousand metric tons per year",,847
930,930,2007,Japan,"Copper: refined","Kosaka, Akita Prefecture","Refinery at Kosaka",Plant,"40° 20'  N","140° 45'  E",40.33,140.75,A,,"Kosaka Smelting and  Refining Co. Ltd. (wholly owned subsidiary of Dowa Mining Co. Ltd.)",,,Active,72,"thousand metric tons per year",,847
931,931,2007,Japan,"Copper: refined","Niihama, Ehime Prefecture","Refinery at Niihama",Plant,"33° 58'  N","133° 16'  E",33.96,133.26,F,,"Sumitomo Metal Mining Co. Ltd.",,,Active,1,"thousand metric tons per year",,847
1019,1019,2007,Laos,"Copper: mine Cu output","Sepon, Vilabouly District, Savannakhet Province","Mine at Sepon",Mine,"16° 58'  N","105° 59'  E",16.96,105.99,F,,"Lane Xang Minerals Ltd. (LXML) (wholly owned subsidiary of Oxiana Ltd.)",,,Active,67.6,"thousand metric tons per year",,847
1020,1020,2007,Laos,"Copper: refined","Sepon, Vilabouly District, Savannakhet Province","Refinery at Sepon",Plant,"16° 58'  N","105° 59'  E",16.96,105.99,F,,"Lane Xang Minerals Ltd. (LXML) (wholly owned subsidiary of Oxiana Ltd.)",,,Active,63,"thousand metric tons per year",,847
1098,1098,2007,Mongolia,Copper,"Erdenet, Bulgan Province - 400 kilometers northwest of Ulaanbaator","Erdenet mine",Mine,"49° 01'  N","104° 08'  E",49.02,104.13,F,S,"Erdenet Mining Corp. (Mongolian-Russia joint venture)","State Property Company of Mongolia, 51%","Federal Property of Russian Federation, 49%",Active,0,"thousand metric tons per year","Combined capacity for positions 10981099.",847
1099,1099,2007,Mongolia,Copper,"Erdenet, Bulgan Province - 400 kilometers northwest of Ulaanbaator","Erdene mineral processing plant",Plant,"49° 02'  N","104° 09'  E",49.04,104.15,F,S,"Erdenet Mining Corp. (Mongolian-Russia joint venture)","State Property Company of Mongolia, 51%","Federal Property of Russian Federation, 49%",Active,0,"thousand metric tons per year","Combined capacity for positions 10981099.",847
1100,1100,2007,Mongolia,"Copper: concentrate, Cu content",Erdenet,"Mine at Bulgan Province",Mine,"49° 02'  N","104° 09'  E",49.04,104.15,F,,"Erdenet Mining Corp. (Mongolian-Russia joint venture)","State Property Company of Mongolia, 51%","Federal Property of Russian Federation, 49%",Active,0,"thousand metric tons per year",,847
1175,1175,2007,"North Korea","Copper: mine Cu output","Hyesan, Yanggang Province","Mine at Hyesan",Mine,"41° 17'  N","128° 21'  E",41.29,128.35,A,,"Hyesan Youth Copper Mine","51% owned by Luanhe Industrial Group and another unnamed Chinese Co.",,Active,13,"thousand metric tons per year",,847
1223,1223,2007,Pakistan,Copper,"Chagai, Balochistan","Plant at Chagai",Plant,"29° 17'  N","064° 40'  E",29.29,64.67,A,,"Saindak Metals Ltd.",,,Active,22,"thousand metric tons per year",,847
1233,1233,2007,"Papua New Guinea",Copper,"Western Province, 20 kilometers northwest of Tabulio and 390 kilometers southwest of Wewak","Ok Tedi open pit mine",Mine,"06° 47'  S","141° 08'  E",-5.21,141.14,F,S,"Ok Tedi Mining Ltd., operator","National Papua New Guinea Sustainable Development Program Ltd., 52%","Government, 30%; and Inmet Mining Ltd. (Canada),18%",Active,210,"thousand metric tons per year","Combined capacity for positions 12331234.",847
1234,1234,2007,"Papua New Guinea",Copper,"Western Province, 20 kilometers northwest of Tabulio and 390 kilometers southwest of Wewak","Ok Tedi open pit mine",Plant,"06° 47'  S","141° 08'  E",-5.21,141.14,F,S,"Ok Tedi Mining Ltd., operator","National Papua New Guinea Sustainable Development Program Ltd., 52%","Government, 30%; and Inmet Mining Ltd. (Canada),18%",Active,210,"thousand metric tons per year","Combined capacity for positions 12331234.",847
1262,1262,2007,Philippines,Copper,"Isabel, Leyte Island","Smelter at Isabel",Plant,"10° 54'  N","124° 26'  E",10.9,124.44,F,,"Philippine Associated Smelting and Refining Corp. (PASAR)","Glencore International AG",,Active,250,"thousand metric tons per year",,847
1263,1263,2007,Philippines,Copper,"Isabel, Leyte Island","Refinery at Isabel",Plant,"10° 54'  N","124° 26'  E",10.9,124.44,F,,"Philippine Associated Smelting and Refining Corp. (PASAR)","Glencore International AG",,Active,173,"thousand metric tons per year",,847
1264,1264,2007,Philippines,Copper,"Albay Province","Rapu-Rapu Mine under the Rapu-Rapu polymetallic project",Mine,"13° 11'  N","124° 07'  E",13.19,124.12,A,,"Lafayette Mining, Ltd.","Lafayette Mining, Ltd., 75%","LG International and Korean Resources Corp., 25%",Active,36,"thousand metric tons per year",,847
1265,1265,2007,Philippines,Copper,"Tuba, Benguet Province, Luzon Island","Padcal Copper Project",Mine,"16° 19'  N","120° 32'  E",16.31,120.54,A,,"Philex Mining Corp.","Philex Gold, Inc., 81%",,Active,21,"thousand metric tons per year",,847
1266,1266,2007,Philippines,Copper,"Mankayan, Benguet Province, Luzon Island","Teresa Mine",Mine,"16° 52'  N","120° 46'  E",16.87,120.76,A,,"Lepanto Consolidated Mining Company",,,Active,0.2,"thousand metric tons per year","Combined capacity for positions 12661267.",847
1267,1267,2007,Philippines,Copper,"Mankayan, Benguet Province, Luzon Island","Victoria Mine",Mine,"16° 52'  N","120° 46'  E",16.87,120.76,A,,"Lepanto Consolidated Mining Company",,,Active,0.2,"thousand metric tons per year","Combined capacity for positions 12661267.",847
1312,1312,2007,"Republic of Korea","Copper: metal, primary",Onsan,"Smelter at Onsan",Plant,"35° 26'  N","129° 21'  E",35.43,129.35,F,,"LS-Nikko Copper Inc.",,,Active,510,"thousand metric tons per year",,847
1313,1313,2007,"Republic of Korea","Copper: metal, primary",Changhang,"Plant at Chanhang",Plant,"34° 44'  N","127° 00'  E",34.74,127,A,,"LS-Nikko Copper Inc.",,,Active,60,"thousand metric tons per year",,847
1314,1314,2007,"Republic of Korea","Copper: metal, primary",Onsan,"Smelter at Onsan",Plant,"35° 26'  N","129° 21'  E",35.43,129.35,F,,"Korea Zinc Co. Ltd.",,,Active,20,"thousand metric tons per year",,847
1404,1404,2007,Thailand,"Copper: refined","Rayong, Rayong Province","Refinery at Rayong",Plant,"12° 50'  N","101° 26'  E",12.84,101.44,A,,"Thai Copper Industries Plc","Thai Asset Management, 36%","Thai Film Industry, 27%; Aker Kvarmer, 28%; Industrial Corporation of Thailand Plc, 7%; others, 2%",Active,165,"thousand metric tons per year",,847
1488,1488,2007,Vietnam,"Copper: concentrate, Cu content","Sin Queyen, Lao Cai Province","Mine at Sin Queyen",Mine,"22° 29'  N","103° 57'  E",22.48,103.95,A,,"Lao Cai Copper Complex (wholly owned subsidiary of Vietnam National Minerals Corp.)","Vietnam National Minerals Corp.",,Active,11,"thousand metric tons per year",,847
1489,1489,2007,Vietnam,"Copper: refined","Tang Loong Long Commune, Bao Tang District, Lao Cai Province","Refinery at Tang Loong Long Commune",Plant,"22° 20'  N","104° 07'  E",22.33,104.12,A,,"Tang Loong Lao Cai Copper Smelting Enterprise (wholly owned subsidiary of Vietnam National Minerals Corp.)","Vietnam National Minerals Corp.",,Active,10,"thousand metric tons per year",,847
2,1530,2007,Armenia,"Copper: blister",Alaverdi,,Plant,"41° 06'  N","044° 40'  E",41.1,44.66,F,,"CJSC Armenian Copper Programme (ACP)","Valex F.M. Establishment, 81%","Russian businessman, 19%",Active,15,"thousand metric tons per year",,848
3,1531,2007,Armenia,"Copper: mine output, Cu content",Agarak,"Facilities: Agarak copper-molybdenum mining and processing complex",Mine,"38° 55'  N","046° 11'  E",38.91,46.19,F,,"Comsup Commodities, Inc. (United States)",,,Active,30,"thousand metric tons per year","Combined capacity for positions 35. Purchased in 2003.",848
4,1532,2007,Armenia,"Copper: mine output, Cu content",Kadzharan,"Zangezur copper-molybdenum complex mining Kadzharan deposit",Mine,"39° 09'  N","046° 09'  E",39.15,46.15,F,,,"Cronimet Mining (Germany), 60%","Yerevan Pure Iron Works, 15%; Armenian Molybdenum Production (AMP), 12.5%; LLC Zangezur Mining, 12.5%",Active,30,"thousand metric tons per year","Combined capacity for positions 35.",848
5,1533,2007,Armenia,"Copper: mine output, Cu content",Kapan,,Mine,"39° 14'  N","046° 24'  E",39.23,46.4,F,,"Kapan mining directorate","Deno Company (Switzerland)",,Active,30,"thousand metric tons per year","Combined capacity for positions 35. Purchased in 2002.",848
40,1568,2007,Azerbaijan,Copper,"Shamkhorskiy Region","Karadagskiy complex",Mine,"40° 50'  N","046° 00'  E",40.83,46,A,,,,,Active,30,"thousand metric tons per year",,848
91,1619,2007,Georgia,"Copper: ore, Cu content","Sakdrisi Region",,Mine,"41° 22'  N","044° 30'  E",41.37,44.5,A,,,,,Active,NA,,,848
92,1620,2007,Georgia,"Copper: ore, Cu content","Bolnisi Region","Madneuli complex",Mine,"41° 30'  N","044° 46'  E",41.5,44.77,A,,,,,Active,12,"thousand metric tons per year",,848
129,1657,2007,Kazakhstan,"Copper: concentrate, Cu content",Ridder,"Ridder-Sokolny Mine",Mine,"50° 22'  N","083° 32'  E",50.36,83.54,F,,"Kazzinc JSC","Glencore International, 99%",,Active,NA,,,848
130,1658,2007,Kazakhstan,"Copper: concentrate, Cu content",Zyrianovsk,"Maleevsky Mine",Mine,"49° 47'  N","084° 19'  E",49.78,84.32,F,,"Kazzinc JSC","Glencore International, 99%",,Active,62,"thousand metric tons per year",,848
131,1659,2007,Kazakhstan,"Copper: concentrate, Cu content","Kounrad/ Sayak","Sayak Complex",Mine,"46° 58'  N","075° 00'  E",46.96,75,F,,"Kazakhmys PLC Mines",Samsung,,Active,40,"thousand metric tons per year",,848
132,1660,2007,Kazakhstan,"Copper: concentrate, Cu content",Shatyrkul,"Mine at Shatyrkul",Mine,"43° 39'  N","073° 52'  E",43.65,73.87,A,,"Kazakhmys PLC Mines",Samsung,,Active,12.7,"thousand metric tons per year",,848
133,1661,2007,Kazakhstan,"Copper: concentrate, Cu content","Irtysh Complex/ Belousov","Belousovskoe and Irtyshskoe Mines; Irtysh Complex",Mine,"50° 08'  N","082° 31'  E",50.13,82.51,F,,"Kazakhmys PLC Mines",Samsung,,Active,8.4,"thousand metric tons per year",,848
134,1662,2007,Kazakhstan,"Copper: concentrate, Cu content",Artemyevskoe,"Mine at  Artemyevskoe",Mine,"50° 00'  N","082° 30'  E",50,82.5,A,U,"Kazakhmys PLC Mines",Samsung,,Active,7.8,"thousand metric tons per year",,848
135,1663,2007,Kazakhstan,"Copper: metal, refined",Balkash,"Smelter and refinery at Balkash",Plant,"52° 31'  N","068° 45'  E",52.52,68.75,A,,"Kazakhmys PLC Mines",Samsung,,Active,250,"thousand metric tons per year",,848
136,1664,2007,Kazakhstan,"Copper: metal, refined",Zhezkazgan,"Smelter and refinery at Zhezkazgan",Plant,"47° 47'  N","067° 46'  E",47.78,67.76,F,,"Kazakhmys PLC Mines",Samsung,,Active,215,"thousand metric tons per year",,848
