dep_id,url,mrds_id,mas_id,site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,dep_type,prod_size,dev_stat,ore,gangue,other_matl,orebody_fm,work_type,model,alteration,conc_proc,names,ore_ctrl,reporter,hrock_unit,hrock_type,arock_unit,arock_type,structure,tectonic,ref,yfp_ba,yr_fst_prd,ylp_ba,yr_lst_prd,dy_ba,disc_yr,prod_yrs,discr,score
10400560,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10400560,,,Judeira,-11.2315,27.0735,AF,Congo (Kinshasa),Katanga,,,Copper,Cobalt,,Unknown,Sediment-hosted copper,,Prospect,"Malachite, Heterogenite",,,,,197: Sediment-hosted Cu,,,Juidera,,"Causey, J. Douglas","Mines Sequence, Roan division of Katangan Supergroup (BH) and Kundulungu Gp.","Dolomite,Shale",,,,,"2011, Central African Copperbelt: U.S. Geological Survey SIR",,,,,,,,,D
10400561,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10400561,,,Kababankola,-10.7333,26.4227,AF,Congo (Kinshasa),Katanga,,,"Cobalt, Copper",,,Unknown,Sediment-hosted copper,,Prospect,,,,,,"202: Sediment-hosted Cu, reduced-facies",,,C19,,"Causey, J. Douglas",,Carbonate,,,,,"2011, Central African Copperbelt: U.S. Geological Survey SIR",,,,,,,,,D
10183424,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10183424,W029736,7660400002,Kakanda,-10.79754,26.46804,AF,Congo (Kinshasa),Katanga,,M,Copper,Cobalt,,Surface,,,Producer,"Chalcocite, Chalcopyrite, Covellite, Cuprite, Malachite, Heterogenite",,,,"Surface, Underground","201: Sediment-hosted Cu, reduced-facies (modified)",,,"Kakanda South (Kakanda Sud), Kakanda East (Kakanda Est), Kakanda North (Kakanda Nord)",,"Saam, Henning G., Rfb, Orris, Greta J., Wilson, Anna B.","dolomitic shale, partly silicified finely stratified dolomite, and dolomitic shale.",Dolomite,,,,,"LOMBARD, J., NICOLINI, P. (ED.) GISEMENTS STRATIFORMES DE CRUIVRE EN AFRIQUE, 2E PARTIE, ASSOCIATIONS DEO SERVICES GEOLOGIQUES AFRICANS, PARIS.WORLD MINING, OCT. 1974, P.53BGR, APRIL 1974, ROHSTOFFWIRTSCHAFTLICHE LAENDERBERICHTE, III ZAIRE, P.51PERSONAL COMMUNICATIONS.WHITE, L. 1979. ""ZAIRE,"" ENGINEERING AND MINING JOURNAL, NOVEMBER. PP. 188-206.CROCKETT AND OTHERS, 1987, INTERNATIONAL STRATEGIC MINERALS INVENTORY SUMMARY REPORT-- COBALT: U.S. GEOLOGICAL SURVEY CIRCULAR 930-F, 54 P.GECAMINES RAPPORTS ANNUELS, 1967-1978.Coates, H., Anderson, W., and McGeorge, I.M., 2008, Technical Report on the Kakanda copper-cobalt project, Katanga province, DRC, for Simberi Mining Corp. [www.simberimining.com/_resources/Simberi43-101May08Final.pdf]Acheson, D., and Wheatley, C., 08/2007, Technical Report on the Boss Mining Project, Kakanda District, Katanga Province, DRC, prepared for Central African Mining and Exploration Plc (CAMEC) by Behre Dolbear International Limited.  \n[http://investors.camec-plc.com/pdf/Camec_Take_Bid_Circular.pdf]Central African Mining & Exploration, 12/12/08, Camec positive assay results received, Regulatory Story no. 0106K07. [http://www.londonstockexchange.com/exchange/prices-and-news/news/market-news/market-news-detail.html?announcementId=2045763 last accessed 5/26/10]WORLD MINING, 1974; GECAMINES ANNUAL REPORTS; BGR, 1974; CROCKETT AND OTHERS, 1987",,1930,,,,1910,,,A
10400565,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10400565,,,Kalukundi,-10.6352,25.9334,AF,Congo (Kinshasa),Katanga,,,"Copper, Cobalt",,,Unknown,Sediment-hosted Cu - Carbonate Ecaille,,Prospect,"Chalcocite, Chalcopyrite, Bornite, Malachite, Carrollite, Chrysocolla, Kolwezite, Heterogenite, Cobaltite",,,,,,,,"Kalakundi Project, Anticline, Golf, Kesho, Kii, Principal",,"Causey, J. Douglas","Mines Sequence, Roan division of Katangan Supergroup (SDB, RSC, D-STRAT, RAT-G)",Dolomite,,,,,"2011, Central African Copperbelt: U.S. Geological Survey SIR",,,,,,,,,C
10183294,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10183294,W029737,7660400003,Kambove / Kamfundwa,-10.83084,24.66806,AF,Congo (Kinshasa),Katanga,,M,Copper,Cobalt,,Underground,,,Producer,,,,,Underground,,,,Kambove,,Eastern Field Operations Center (EFOC),,,,,,,"ENGINEERING AND MINING JOURNAL, NOVEMBER 1979, PP. 188-206.RAPPORTS ANNUELS, 1967-1978, GECAMINES.GOLDER ASSOCIATES PROFILE REPORT, SEPT. 1980.C.A. AGUIRRE TRIP REPORT, FEB. 1980.",,1926,,,,1892,,,C
10079674,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10079674,W029737,,Kambove West,-10.88616,26.59858,AF,Congo (Kinshasa),Katanga,,M,Copper,Cobalt,,Unknown,,Y,Producer,"Chalcocite, Chalcopyrite, Heterogenite, Malachite",,,,,197: Sediment-hosted Cu,,,Kambove Principal-Kambove WestKambove,,"Causey, J Douglas, Wilson, Anna B., Orris, Greta J., Saam, Henning G.",,"Quartzite,Shale,Dolomite",,,Copper Belt,Intracratonic Sedimentary Basin; Shallow Marine,"GECAMINES 1973, 1974, 1975, ANNUAL REPORTSBGR, APRIL 1974, ROHSTOFFWIRTSCHAFTLICHE LAENDERBERICHTE, III, ZAIRE;CROCKETT AND OTHERS, 1987, INTERNATIONAL STRATEGIC MINERALS INVENTORY SUMMARY REPORT-- COBALT:  U.S. GEOLOGICAL SURVEY CIRCULAR 930-F, 54 P.Kirkham, Rodney, and Broughton, David, 2005, Appendix, Supplement to the sediment-hosted stratiform copper ore system, in J.W. Hedenquist, J.W., J.F.H. Thompson, J.F.H., Goldfarb, R.J., and J.P. Richards, J.P., eds., Economic Geology 100th Anniversary Volume, 1905-2005: Littleton, Colorado, Society of Economic Geologists, p. 609-642.ISMIGECAMINES ANNUAL REPORTSKirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences: Geological Survey of Canada Open File 2915b, 256 p.Wilson, A.B., Causey, J.D., Kirschbaum, M.J., Taylor, C.d., and Zientek, M.L,, 2011, Database of Sediment-Hosted Copper Deposits in the Central African Copperbelt, Democratic Republic of the Congo and Zambia: U.S. Geological Survey Scientific Investigation Report 2010-5090x",,1913,,,,1901,,,B
10183231,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10183231,W029729,7660400005,Kamoto,-10.7143,25.4009,AF,Congo (Kinshasa),Katanga,,M,Copper,Cobalt,,Underground,,,Producer,"Bornite, Carrollite, Chalcocite, Chalcopyrite, Covellite, Digenite, Malachite","Chlorite, Quartz, Dolomite",Magnesite,Wedge,Underground,197: Sediment-hosted Cu,,,Kamoto Underground,,"Wilson, Anna B., Orris, Greta J., Saam, Henning G., Shaffer, Glenn L., Eastern Field Operations Center (EFOC)",,"Quartzite,Shale,Dolomite",,,,,"E/MJ,NOVEMBER 1979 PP. 188-206.LOMBARD, J. AND NICOLINI, P. (ED). GISEMENTS STRATIFORMS DE CUIVRE EN AFRIQUE. VOL.1 AND 2, ASSOC. OF AFRICAN GEOLOGICAL SURVEYS, 1963.BGR, APRIL 1974, ROHSTOFFWIRTSCHAFTLICHE LAENDERBERICHTE, III ZAIRE.BARTOLOME AND KATEKESHA, 1971, COBALT ZONING IN MICROSCOPIC PYRITE FROM KAMOTO, REPUBLIC OF THE CONGO.MAADINI, BULLETIN D' INFORMATION DE LA GECAMINES, VARIOUS ISSUES, 1974-1978.CROCKETT AND OTHERS, 1987, INTERNATIONAL STRATEGIC INVENTORY SUMMARY REPORT-- COBALT: U.S. GEOLOGICAL SURVEY CIRCULAR 930-F, 54 P.RAPPORTS ANNUELS, 1967-1978, GECAMINES. \n[GECAMINES ANNUAL REPORTS 1967 TO 1978]WORLD MINING, 1970, NO. 23 (MAY), P. 61.ENG. MINING JOUR., 1973, 1972 E/MJ INTERNATIONAL DIRECTORY OF MINING AND MINERAL PROCESSING OPERATIONS: NEW YORK, MCGRAW-HILL, INC., P. 218.GECAMINES ANNUAL REPORTS.CROCKETT AND OTHERS, 1987.WORLD MINING, 1970.",,1950,,,,1940,,,A
10400568,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10400568,,,Kananga,-10.6892,25.4588,AF,Congo (Kinshasa),Katanga,,,"Copper, Cobalt",,,Unknown,Sediment-hosted Cu-carbonate ecaille,,Prospect,"Malachite, Heterogenite",,,,,,,,Kananga West,,"Causey, J. Douglas","Mines Sequence, Roan division of Katangan Supergroup  (Lower Roan)",Carbonate,,,,,"2011, Central African Copperbelt: U.S. Geological Survey SIR",,,,,,,,,D
10400569,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10400569,,,Kansalawile,10.6202,26.2228,AF,Congo (Kinshasa),Katanga,,,"Copper, Cobalt",,,Unknown,Sediment-hosted Cu-carbonate ecaille,,Prospect,,,,,,,,,"Tenke Fungurume Project, Kansalawile West, Kansalawile East",,"Causey, J. Douglas","Mines Sequence, Roan division of Katangan Supergroup (RAT, RSF, SDB, RSC)",Carbonate,,,,,"2011, Central African Copperbelt: U.S. Geological Survey SIR",,,,,,,,,D
10079675,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10079675,W029738,,Kazibizi,-10.83921,26.60045,AF,Congo (Kinshasa),Katanga,,M,Copper,Cobalt,,Unknown,Stratabound,Y,Past Producer,,,,,,,,,,,"Wilson, Anna B., Saam, Henning G., Causey, J Douglas",,,,,Copper Belt,,"WORLD MINING, OCT. 1974, P.53BGR, APRIL 1974, ROHSTOFFWIRTSCHAFTLICHE LAENDERBERICHTE, III, ZAIREGoossens, Pierre, 2007, Phoenix rising in an uncertain world - new mining activities in Katanga: Academie Royale des Sciences d'outre-mer, Bulletin des seances v. 53, no. 3. p. 361-385.GECAMINES, ANNUAL REPORTS;Wilson, A.B., Causey, J.D., Kirschbaum, M.J., Taylor, C.d., and Zientek, M.L,, 2011, Database of Sediment-Hosted Copper Deposits in the Central African Copperbelt, Democratic Republic of the Congo and Zambia: U.S. Geological Survey Scientific Investigation Report 2010-5090x",,1971,,,,,,,C
10183296,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10183296,,7660400028,Kilamusembu,-10.70725,25.39055,AF,Congo (Kinshasa),Katanga,,M,Copper,Cobalt,,Unknown,,,Prospect,,,,,,,,,,,"Boyle, Ed",,,,,,,"AGUIRRE, C.A., ZAMBIA-ZAIRE REPORT, UNPUBLISHED REPORT FORMAS SYSTEM, U.S.BU MINES, 1979.",,,,,,,,,D
10079678,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10079678,W029741,,Kinsenda,-12.2614,27.9655,AF,Congo (Kinshasa),Katanga,,M,Copper,Cobalt,,Unknown,,N,Occurrence,,,,,,,,,"Tshinsenda, Tshinenda (misspelling)",,"Saam, Henning G., Beougher, Dee (Spanski, Gregory T.), Wilson, Anna B.",,"Quartzite,Schist,Sandstone",,,"Copper Belt, Luina Granite Dome",,"BGR, APRIL 1974, ROHSTOFFWIRTSCHAFTLICHE LAENDERBERICHTE, III, ZAIREWORLD MINING, SEPT. 1977, P.146Annels, A.E., 1984, The geotectonic environment of Zambian copper-cobalt mineralization:  Journal of the Geological Society of London, v. 141, p. 282, #29 on Fig. 1.MINING MAGAZINE, JANUARY 1989, P. 50.vanbrussel, Katangan Copperbelt.kml, Google Map database (accessed Feb. 16, 2010). [This database accessible through Google Maps and Google Earth appears to be well documented, all the information has checked out, but there is no official author, title, or publication].",,1977,,,,,,,C
10400575,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10400575,,,Kinsevere,-11.3694,27.5872,AF,Congo (Kinshasa),Katanga,,,"Cobalt, Copper",,,Surface,Sediment-hosted copper,,Producer,,,,,,,,,"Kinsevere Hill, Tshifufia, Tshifufia South, Tshifufiamashi, Nambulwa",,"Causey, J. Douglas","Mines Sequence, Roan division of Katangan Supergroup (grey RAT, D-strat, RSF, SD, and CMV) There is no RSC present between the Lower and Upper Orebodies at Kinsevere",Carbonate,,,,,"2011, Central African Copperbelt: U.S. Geological Survey SIR",,,,,,,,,D
10400577,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10400577,,,Kipoi Central,-11.2551,27.0948,AF,Congo (Kinshasa),Katanga,,,"Copper, Cobalt",Silver,,Surface,Sediment-hosted copper,,Producer,"Malachite, Azurite, Chalcocite, Copper, Heterogenite, Chalcopyrite","Pyrite, Quartz, Calcite",,,,,,,"Kipoy, Kipoi Northwest",,"Causey, J. Douglas","Mwashya sub-Gp., Nguba Gp., and Mines sub-Gp.(BH), Roan division of Katangan Supergroup","Dolomite,Siltstone",,,,,"2011, Central African Copperbelt: U.S. Geological Survey SIR",,,,,,,,,C
10400578,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10400578,,,Kipoi North,-11.2448,27.092,AF,Congo (Kinshasa),Katanga,,,"Cobalt, Copper",Silver,,Unknown,Sediment-hosted copper,,Prospect,"Malachite, Copper",,,,,,,,,,"Causey, J. Douglas","Mines Sequence, Roan division of Katangan Supergroup (BH, Grey RAT, Dstrat, RSF, and RSC)","Dolomite,Siltstone",,,,,"2011, Central African Copperbelt: U.S. Geological Survey SIR",,,,,,,,,C
10134596,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10134596,W029742,7660400006,Kipushi,-11.76416,27.23464,AF,Congo (Kinshasa),Katanga,,B,"Copper, Zinc","Cadmium, Silver, Germanium","Cobalt, Molybdenum, Gallium, Rhenium",Underground,,,Producer,"Bornite, Chalcocite, Carrollite, Molybdenite, Pyrite",,"Arsenopyrite, Calamine, Cerussite, Chalcopyrite, Cobaltite, Covellite, Cuprite, Galena, Goethite, Hematite, Linnaeite, Malachite, Smithsonite, Sphalerite, Tennantite, Turgite, Vanadinite",,Underground,233: Kipushi Cu-Pb-Zn (BC name is Carbonate-hosted Cu),,,Prince Leopold Mine (until 1962),,"King, Robert U., Wilson, Anna B., Saam, Henning g., Orris, Greta J., Difrancesco, Carl A.",,,,,,,"ANGERMIER, H. KRANB U. & SHMIDT H., ZAIRE, BUNDESANSTALT FUR BODENFORSCHUNG, HANOVER, 1974.COX, D., AND SINGER, D., EDS., 1986, DEPOSIT MODELS: U.S. GEOLOGICAL SURVEY BULLETIN 1693.DESCRIPTIONS DES INSTALLATIONS DE LA GECAMINES, GECAMINES, 1975.FRANCOISE, A. CARTA GEOLOGIQUE DU KATANGA MERIDIONAL PLANCHE I UNION MINIERE DU HAUT-KATANGA, SCALE 1: 1000000, 1962.GRAY, A., 1930, CORRELATION OF ORE-BEARING SEDIMENTS OF THE KATANGA AND RHODESIAN COPPER BELT: ECON. GEOL. V. 25, P. 783-804.FRANCOISE, A., GEOLOGY OF THE KIPUSHI DISTRICT, KIPUSHI MINE DISTRICT OFFICE GECAMINE, SHABA-ZAIRE.GECAMINES 1973, 1974, 1975, ANNUAL REPORTSGARLICK, W. G., STRUCTURAL EVOLUTION OF THE COPPERBELTGECAMINES REPORT ANNUEL 1977.GECAMINES, JUNE 30, 1969.INTIOMALE, M. AND OOSTERBUSCH, R. 1974, ""GEOLOGIE ET GEOCHEMIE DU GISEMENT DE KIPUSHI, ZAIRE.""  CENTENAIRE DE LA SOCIETE GEOLOGIQUE DE BELGIQUE. GISEMENTS STRATIFORMES ET PROVINCES CUPRIFERES, LIEGE, PP. 123-164.ROBERT, M., 1931, OUTLINE OF THE GEOLOGY AND ORE DEPOSITS OF KATANGA, BELGIAN CONGO: ECON. GEOL. V. 26, P. 531-539.MENDELSOHN, F. KATANGA SYSTEM ROCM, 1961.PERSONAL CONFIDENTIAL COMMUNICATIONS.CRU ZINC MONITOR-AUGUST 1996L.C. CANNEYL.C. CANNEY AND R.U. KING",,1925,,,,1899,,,A
10400579,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10400579,,,Kiwana,-10.7335,26.3161,AF,Congo (Kinshasa),Katanga,,,"Copper, Cobalt",,,Unknown,Sediment-hosted copper,,Unknown,,,,,,,,,Kiwana II,,"Causey, J. Douglas",,Carbonate,,,,,"2011, Central African Copperbelt: U.S. Geological Survey SIR",,,,,,,,,D
10183504,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10183504,,7660400004,KOV,-10.7134,25.4185,AF,Congo (Kinshasa),Katanga,,M,Copper,Cobalt,,Surface,,,Producer,,,"Bornite, Chalcocite, Chalcopyrite, Chlorite, Cobaltite, Covellite, Digenite, Malachite, Quartz",,Surface,,,,"Kov Open Pit, Virgult, Kamoto Est, Oliviera, Kamoto Nord, Komoto Open Pit, Musonoi Esnr",,Eastern Field Operations Center (EFOC),,,,,,,"ENGINEERING AND MINING JOURNAL, NOVEMBER 1979,PP.188-206LOMBARD, J. AND NICOLINI, P.(ED).GISEMENTS STRATIFORMS DECUIVRE EN AFRIQUE. VOL.1 AND 2, ASSOCIATION OF AFRICANMAADINI,BULLETIN D'INFORMATION DE LA GECAMINES, VARIOUSISSUES, 1974 - 1978.GEOLOGICAL SURVEYS, 1963.",,1956,,,,1940,,,C
10079676,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10079676,W029739,,M'Sesa,-10.8503,26.6099,AF,Congo (Kinshasa),Katanga,,M,Copper,Cobalt,,Unknown,Stratabound,Y,Past Producer,,,,,,,,,Sesa,,"Saam, Henning G.",,,,,Copper Belt,,"GECAMINES, 1972, 1973, ANNUAL REPORTSBGR, APRIL 1974, ROHSTOFFWIRTSCHAFTLICHE LAENDERBERICHTE, III, ZAIREBGR, 1974;",,1965,,,,,,,C
10079670,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10079670,W029733,,Mupine,-10.6979,25.404,AF,Congo (Kinshasa),Katanga,,M,Copper,Cobalt,,Unknown,,Y,Producer,"Chalcocite, Chalcopyrite, Heterogenite, Malachite",,,,,197: Sediment-hosted Cu,,,Kamoto-KOV-Musonie-Mupine,,"Saam, Henning G., Orris, Greta J.",,"Quartzite,Shale,Dolomite",,,Copper Belt,Intracratonic Sedimentary Basin; Shallow Marine,"WORLD MINING, OCT. 1974, P.53BGR, APRIL 1974, ROHSTOFFWIRTSCHAFTLICHE LAENDERBERICHTE, III ZAIRE, P.47;GECAMINES, 1973, 1974, 1975, ANNUAL REPORTSCROCKETT AND OTHERS, 1987, INTERNATIONAL STRATEGIC MINERALS INVENTORY SUMMARY REPORT-- COBALT:  U.S. GEOLOGICAL SURVEY CIRCULAT 930-F, 54 P.Dixon, Roger, Simposya, Victor, Takolia, Ebrahim, Waldeck, Wally, Salter, Henrietta, von Wielligh, Anton, Naismith, Alan, Cilliers, Petrus, and McNeill, R., 2009, An independent technical report on the material assets of Katanga Mining Ltd., Katanga Province, Democratic Republic of Congo (""DRC""): SRK Consulting, 216 p. (Available at www.sedar.com [Katanga Mining Ltd., Technical Report (NI 43-101) - English, filed March 31, 2009]).Kirkham, R.V, Carriere, J.J., Laramee, R.M., and Garson, D.F., 1994, Global distribution of sediment-hosted stratiform copper deposits and occurrences: Geological Survey of Canada Open File 2915b, 256 p.ISMIGECAMINES 1972, 1973, 1974, 1975, ANNUAL REPORTSWilson, A.B., Causey, J.D., Kirschbaum, M.J., Taylor, C.d., and Zientek, M.L,, 2011, Database of Sediment-Hosted Copper Deposits in the Central African Copperbelt, Democratic Republic of the Congo and Zambia: U.S. Geological Survey Scientific Investigation Report 2010-5090x",,1955,,,,1950,,,B
